day_of_week,temp,rain_drizzle,crime_count
2,64.93333333333332,0.0,0.6572237960339944
3,68.06666666666666,0.0,0.8186968838526912
4,67.03333333333335,0.0,0.49008498583569404
5,67.0,0.0,0.7535410764872521
6,67.43333333333334,0.0,0.6997167138810199
7,68.33333333333333,0.0,0.7308781869688386
1,70.43333333333334,0.0,0.5892351274787535
2,66.0,1.0,0.35410764872521244
3,58.16666666666666,0.0,0.37677053824362605
4,55.73333333333333,0.0,0.9773371104815864
5,55.16666666666666,0.0,0.7195467422096318
6,52.23333333333333,1.0,0.46458923512747874
7,52.23333333333333,1.0,0.3087818696883853
1,57.46666666666667,0.0,0.5949008498583569
2,59.73333333333333,1.0,0.5864022662889519
3,60.5,0.0,0.49008498583569404
4,62.4,0.0,0.44192634560906513
5,61.06666666666666,1.0,0.7082152974504249
6,53.6,0.0,0.5212464589235127
7,60.9,0.0,0.5382436260623229
1,66.73333333333333,0.0,0.5297450424929179
2,56.63333333333333,0.0,0.5552407932011332
3,52.9,0.0,0.6203966005665722
4,54.76666666666667,0.0,0.7677053824362606
5,49.9,0.0,0.5354107648725213
6,43.53333333333333,0.0,0.45609065155807366
7,44.76666666666667,0.0,0.36827195467422097
1,54.63333333333333,0.0,0.6883852691218131
2,63.8,0.0,0.6798866855524079
3,64.26666666666667,1.0,0.7053824362606232
4,60.36666666666667,0.0,0.6487252124645893
5,55.53333333333333,1.0,0.6572237960339944
6,62.93333333333334,1.0,0.623229461756374
7,51.9,0.0,0.5184135977337111
1,49.26666666666667,0.0,0.6685552407932012
2,53.06666666666666,1.0,0.3002832861189802
3,53.16666666666666,1.0,0.3881019830028329
4,41.06666666666667,1.0,0.35127478753541075
5,45.63333333333333,1.0,0.6543909348441926
6,47.29999999999999,1.0,0.4985835694050991
7,46.36666666666667,1.0,0.7692307692307693
1,49.03333333333333,1.0,0.5753846153846154
2,52.96666666666667,0.0,0.5076923076923077
3,51.8,1.0,0.3446153846153846
4,47.93333333333334,1.0,0.40307692307692305
5,58.56666666666666,0.0,0.6892307692307692
6,63.9,1.0,0.5292307692307693
7,54.56666666666666,0.0,0.48923076923076925
1,55.66666666666666,1.0,0.49846153846153846
2,56.1,1.0,0.44
3,59.96666666666667,1.0,0.5784615384615385
4,62.7,1.0,0.36923076923076925
5,58.26666666666667,1.0,0.7323076923076923
6,47.3,1.0,0.4707692307692308
7,45.56666666666666,0.0,0.52
1,55.06666666666666,0.0,0.6523076923076923
2,54.43333333333334,1.0,0.37538461538461537
3,52.333333333333336,0.0,0.7107692307692308
4,55.23333333333333,0.0,0.6
5,58.36666666666667,0.0,0.7230769230769231
6,62.03333333333333,0.0,0.683076923076923
7,64.43333333333334,0.0,0.5538461538461539
1,65.76666666666667,0.0,0.6523076923076923
2,72.7,0.0,0.7169230769230769
3,76.06666666666668,1.0,0.4646153846153846
4,71.89999999999999,1.0,0.6061538461538462
5,74.33333333333333,1.0,0.7076923076923077
6,73.7,1.0,0.68
7,73.39999999999999,0.0,0.7015384615384616
1,74.46666666666667,0.0,0.7692307692307693
2,72.96666666666667,1.0,0.5723076923076923
4,70.7,0.0,0.7076923076923077
5,70.56666666666666,0.0,0.7753846153846153
6,69.89999999999999,1.0,0.7907692307692308
7,68.83333333333333,1.0,0.6369230769230769
1,71.76666666666667,1.0,0.683076923076923
2,63.46666666666667,0.0,0.5661538461538461
3,60.26666666666667,0.0,0.5353846153846153
4,61.9,1.0,0.48307692307692307
5,75.5,1.0,0.6
6,83.5,0.0,0.7569230769230769
7,72.03333333333335,0.0,0.8676923076923077
1,68.89999999999999,0.0,0.6892307692307692
2,75.86666666666666,1.0,0.8153846153846154
3,79.10000000000001,1.0,0.676923076923077
4,74.60000000000001,0.0,0.7723076923076924
5,70.73333333333333,0.0,0.8
6,74.0,0.0,0.5938461538461538
7,78.13333333333334,0.0,0.7415384615384616
1,83.06666666666666,1.0,0.8830769230769231
2,75.93333333333334,0.0,0.7846153846153846
3,71.43333333333334,1.0,0.5507692307692308
4,71.3,1.0,0.7107692307692308
5,71.96666666666667,0.0,0.7292307692307692
6,77.36666666666667,0.0,0.7476923076923077
7,81.60000000000001,1.0,0.6307692307692307
1,80.3,0.0,0.6184615384615385
2,68.36666666666666,0.0,0.6061538461538462
3,66.56666666666666,0.0,0.72
4,69.96666666666667,0.0,0.8523076923076923
6,65.53333333333335,0.0,0.5723076923076923
7,68.0,0.0,0.6523076923076923
1,70.33333333333333,0.0,0.8553846153846154
2,75.33333333333333,0.0,1.0
3,77.60000000000001,1.0,0.5292307692307693
4,77.16666666666667,1.0,0.676923076923077
5,76.8,1.0,0.68
6,73.53333333333333,0.0,0.48923076923076925
7,72.26666666666667,0.0,0.5846153846153846
1,78.93333333333334,0.0,0.40307692307692305
2,81.43333333333334,0.0,0.6461538461538462
3,78.03333333333333,1.0,0.48
4,76.03333333333333,1.0,0.6123076923076923
5,71.86666666666666,1.0,0.8492307692307692
6,68.03333333333333,1.0,0.6461538461538462
7,71.39999999999999,1.0,0.6738461538461539
1,77.76666666666667,1.0,0.7046153846153846
2,77.96666666666665,0.0,0.68
3,79.10000000000001,0.0,0.7846153846153846
4,80.5,0.0,0.6615384615384615
5,79.66666666666667,1.0,0.683076923076923
6,84.16666666666667,0.0,0.7507692307692307
7,79.03333333333335,1.0,0.676923076923077
1,78.7,1.0,0.7907692307692308
2,78.93333333333334,0.0,0.9446153846153846
3,79.36666666666666,0.0,0.6923076923076923
4,77.03333333333333,1.0,0.6276923076923077
5,73.86666666666666,1.0,0.7138461538461538
7,72.93333333333334,0.0,0.7476923076923077
1,74.53333333333335,0.0,0.963076923076923
2,77.5,0.0,0.6861538461538461
3,79.7,0.0,0.6215384615384615
4,81.0,0.0,0.6861538461538461
5,78.5,1.0,0.9015384615384615
6,75.56666666666666,0.0,0.7938461538461539
7,73.8,0.0,0.8246153846153846
1,77.06666666666666,0.0,0.72
2,77.56666666666666,0.0,0.47692307692307695
3,80.43333333333334,0.0,0.4676923076923077
4,82.39999999999999,0.0,0.8676923076923077
5,80.39999999999999,1.0,0.5415384615384615
6,77.39999999999999,1.0,0.7907692307692308
7,76.43333333333334,0.0,0.84
1,73.39999999999999,1.0,0.8430769230769231
2,75.63333333333334,1.0,0.7569230769230769
3,76.86666666666666,0.0,0.8984615384615384
4,76.8,1.0,0.6061538461538462
5,74.56666666666666,1.0,0.6861538461538461
6,74.43333333333334,1.0,0.8430769230769231
7,66.89999999999999,0.0,0.6646153846153846
1,67.16666666666667,0.0,0.48615384615384616
2,70.63333333333333,0.0,0.563076923076923
3,75.03333333333335,1.0,0.7784615384615384
4,76.4,1.0,0.6153846153846154
5,73.0,0.0,0.7169230769230769
6,74.56666666666666,1.0,0.7661538461538462
7,76.83333333333333,0.0,0.7230769230769231
1,76.7,1.0,0.9661538461538461
2,76.73333333333333,1.0,0.5753846153846154
3,73.43333333333334,0.0,0.6461538461538462
5,68.2,0.0,0.7046153846153846
6,68.2,0.0,0.8
7,69.46666666666667,0.0,0.6430769230769231
1,74.46666666666665,0.0,0.7753846153846153
2,81.93333333333334,0.0,0.5876923076923077
3,82.89999999999999,0.0,0.4707692307692308
4,76.46666666666665,1.0,0.6923076923076923
5,73.33333333333333,1.0,0.7630769230769231
6,69.26666666666667,1.0,0.6061538461538462
7,65.03333333333333,0.0,0.5784615384615385
1,67.36666666666667,0.0,0.6861538461538461
2,71.89999999999999,0.0,0.6646153846153846
3,70.53333333333333,1.0,0.7692307692307693
4,68.83333333333333,0.0,0.7784615384615384
5,72.06666666666666,0.0,0.7292307692307692
6,73.56666666666666,1.0,0.8123076923076923
7,69.56666666666666,0.0,0.6492307692307693
1,71.9,0.0,0.4369230769230769
2,74.76666666666667,0.0,0.683076923076923
3,71.36666666666666,1.0,0.49538461538461537
4,72.73333333333333,0.0,0.803076923076923
5,72.56666666666666,0.0,0.8461538461538461
6,69.8,0.0,0.8092307692307692
7,72.2,1.0,0.7353846153846154
1,66.76666666666667,1.0,0.5969230769230769
2,60.5,0.0,0.5076923076923077
3,56.06666666666666,1.0,0.2
4,61.4,1.0,0.40615384615384614
5,62.2,1.0,0.6215384615384615
6,60.96666666666667,1.0,0.8984615384615384
7,60.7,0.0,0.42153846153846153
1,62.46666666666667,0.0,0.6215384615384615
2,65.53333333333335,0.0,0.5323076923076923
3,70.0,0.0,0.7230769230769231
4,66.43333333333334,1.0,0.5661538461538461
5,66.26666666666667,0.0,0.9015384615384615
6,53.03333333333333,0.0,0.4461538461538462
