date,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2018-05-12,05,48.0,44.36666666666667,1017.15,993.7666666666668,8.433333333333334,10.033333333333333,15.666666666666666,22.45,52.300000000000004,45.06666666666666,0.016666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-13,05,53.300000000000004,49.56666666666666,1017.0,994.0666666666666,7.266666666666667,6.566666666666666,13.6,25.1,66.96666666666667,46.300000000000004,0.8933333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-14,05,62.699999999999996,56.43333333333334,1012.8,990.1,8.066666666666666,6.733333333333334,19.0,29.0,84.83333333333333,49.666666666666664,0.2733333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-15,05,63.1,58.86666666666667,1012.6500000000001,989.7666666666668,7.433333333333334,7.366666666666667,17.366666666666667,24.333333333333332,72.43333333333334,55.53333333333333,1.0233333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-16,05,60.76666666666667,46.43333333333334,1015.95,993.0666666666666,10.0,5.599999999999999,14.066666666666668,15.9,76.7,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17,05,62.5,50.13333333333333,1016.2,993.5333333333334,9.666666666666666,5.266666666666667,13.666666666666666,15.0,74.60000000000001,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18,05,56.4,46.73333333333333,1017.3,994.1999999999999,9.966666666666667,8.1,12.299999999999999,17.1,68.0,50.93333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-19,05,60.5,57.5,1012.0,989.3000000000001,5.366666666666667,4.466666666666666,9.566666666666668,,69.16666666666667,54.199999999999996,0.075,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-20,05,51.36666666666667,47.800000000000004,1019.6500000000001,996.3000000000001,8.233333333333333,9.0,16.7,19.05,63.93333333333334,44.43333333333334,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-21,05,54.1,51.56666666666666,1019.85,996.4666666666667,6.5,5.933333333333334,12.0,19.033333333333335,66.60000000000001,46.4,0.1366666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-22,05,59.300000000000004,56.36666666666667,1016.35,993.3000000000001,3.9333333333333336,3.6,9.933333333333334,,67.4,52.63333333333333,1.1566666666666665,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2018-05-23,05,62.46666666666667,52.53333333333333,1020.45,997.6666666666666,8.0,2.8000000000000003,8.299999999999999,,78.1,50.13333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-24,05,70.3,54.56666666666666,1020.55,998.0,9.833333333333334,4.266666666666667,9.933333333333334,,86.06666666666666,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25,05,76.96666666666665,56.46666666666667,1012.85,990.7666666666668,10.0,5.866666666666667,9.566666666666668,17.1,89.26666666666667,61.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-26,05,77.96666666666667,64.53333333333333,1007.0999999999999,985.1999999999999,9.666666666666666,5.7,10.066666666666666,15.0,89.13333333333333,67.53333333333333,0.065,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-27,05,82.23333333333333,63.800000000000004,1009.15,987.2666666666668,10.0,3.2999999999999994,9.566666666666668,,95.73333333333333,69.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-28,05,82.23333333333333,63.333333333333336,1012.05,990.1,10.0,5.133333333333334,20.733333333333334,32.4,95.36666666666667,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
