,day_of_week,crime_count
349,5,0.5353846153846153
350,6,0.24615384615384617
351,7,0.08307692307692308
352,3,0.25846153846153846
353,4,0.5046153846153846
354,5,0.5046153846153846
355,6,0.2523076923076923
356,2,0.12307692307692308
357,3,0.15076923076923077
358,4,0.19692307692307692
359,5,0.40307692307692305
360,6,0.4676923076923077
361,7,0.3261538461538461
362,1,0.5353846153846153
363,2,0.2153846153846154
364,3,0.3046153846153846
365,4,0.56
366,5,0.5415384615384615
367,6,0.5323076923076923
368,7,0.2923076923076923
369,1,0.8707692307692307
370,2,0.13538461538461538
371,3,0.3446153846153846
372,4,0.3076923076923077
373,5,0.27692307692307694
374,6,0.38769230769230767
375,7,0.14461538461538462
376,1,0.0
377,4,0.036923076923076927
378,5,0.23692307692307693
379,6,0.08307692307692308
380,2,0.16923076923076924
381,3,0.21846153846153846
382,4,0.3415384615384615
383,5,0.6307692307692307
384,6,0.40615384615384614
385,7,0.42153846153846153
386,1,0.2123076923076923
387,2,0.18461538461538463
388,3,0.024615384615384615
389,4,0.39692307692307693
390,5,0.5230769230769231
391,6,0.37538461538461537
392,7,0.16923076923076924
393,1,0.23384615384615384
394,2,0.76
395,3,0.12
396,4,0.14461538461538462
397,5,0.4123076923076923
398,6,0.4
399,7,0.4430769230769231
400,1,0.6923076923076923
401,2,0.4707692307692308
402,3,0.3353846153846154
403,4,0.4492307692307692
404,5,0.5015384615384615
405,6,0.5415384615384615
406,7,0.17846153846153845
407,1,0.3507692307692308
408,2,0.44
409,3,0.5384615384615384
410,4,0.5169230769230769
411,5,0.68
412,6,0.39692307692307693
413,7,0.3569230769230769
414,1,0.39692307692307693
415,2,0.4676923076923077
416,3,0.3569230769230769
417,4,0.3292307692307692
418,5,0.4523076923076923
419,6,0.5076923076923077
420,7,0.18769230769230769
421,1,0.5261538461538462
422,2,0.52
423,3,0.4492307692307692
424,4,0.5661538461538461
425,5,0.796923076923077
426,6,0.24923076923076923
427,7,0.41846153846153844
428,1,0.28
429,2,0.3292307692307692
430,3,0.27692307692307694
431,4,0.5292307692307693
432,5,0.1723076923076923
433,6,0.36615384615384616
434,7,0.4123076923076923
435,1,0.3261538461538461
436,2,0.40307692307692305
437,3,0.4461538461538462
438,4,0.3723076923076923
439,5,0.7415384615384616
440,6,0.5046153846153846
441,7,0.4246153846153846
442,1,0.5169230769230769
443,2,0.40923076923076923
444,3,0.36923076923076925
445,4,0.4430769230769231
446,5,0.49538461538461537
447,6,0.38153846153846155
448,7,0.5723076923076923
449,1,0.5784615384615385
450,2,0.37846153846153846
451,3,0.28
452,4,0.49846153846153846
453,5,0.4584615384615385
454,6,0.1076923076923077
455,7,0.7692307692307693
456,1,0.5753846153846154
457,2,0.5076923076923077
458,3,0.3446153846153846
459,4,0.40307692307692305
460,5,0.6892307692307692
461,6,0.5292307692307693
462,7,0.48923076923076925
463,1,0.49846153846153846
464,2,0.44
465,3,0.5784615384615385
466,4,0.36923076923076925
467,5,0.7323076923076923
468,6,0.4707692307692308
469,7,0.52
470,1,0.6523076923076923
471,2,0.37538461538461537
472,3,0.7107692307692308
473,4,0.6
474,5,0.7230769230769231
475,6,0.683076923076923
476,7,0.5538461538461539
477,1,0.6523076923076923
478,2,0.7169230769230769
479,3,0.4646153846153846
480,4,0.6061538461538462
481,5,0.7076923076923077
482,6,0.68
483,7,0.7015384615384616
484,1,0.7692307692307693
485,2,0.5723076923076923
486,4,0.7076923076923077
487,5,0.7753846153846153
488,6,0.7907692307692308
489,7,0.6369230769230769
490,1,0.683076923076923
491,2,0.5661538461538461
492,3,0.5353846153846153
493,4,0.48307692307692307
494,5,0.6
495,6,0.7569230769230769
496,7,0.8676923076923077
497,1,0.6892307692307692
498,2,0.8153846153846154
499,3,0.676923076923077
500,4,0.7723076923076924
501,5,0.8
502,6,0.5938461538461538
503,7,0.7415384615384616
504,1,0.8830769230769231
505,2,0.7846153846153846
506,3,0.5507692307692308
507,4,0.7107692307692308
508,5,0.7292307692307692
509,6,0.7476923076923077
510,7,0.6307692307692307
511,1,0.6184615384615385
512,2,0.6061538461538462
513,3,0.72
514,4,0.8523076923076923
515,6,0.5723076923076923
516,7,0.6523076923076923
517,1,0.8553846153846154
518,2,1.0
519,3,0.5292307692307693
520,4,0.676923076923077
521,5,0.68
522,6,0.48923076923076925
523,7,0.5846153846153846
524,1,0.40307692307692305
525,2,0.6461538461538462
526,3,0.48
527,4,0.6123076923076923
528,5,0.8492307692307692
529,6,0.6461538461538462
530,7,0.6738461538461539
531,1,0.7046153846153846
532,2,0.68
533,3,0.7846153846153846
534,4,0.6615384615384615
535,5,0.683076923076923
536,6,0.7507692307692307
537,7,0.676923076923077
538,1,0.7907692307692308
539,2,0.9446153846153846
540,3,0.6923076923076923
541,4,0.6276923076923077
542,5,0.7138461538461538
543,7,0.7476923076923077
544,1,0.963076923076923
545,2,0.6861538461538461
546,3,0.6215384615384615
547,4,0.6861538461538461
