date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2016-01-10,597,20.566666666666663,15.1,1012.9,988.0333333333332,8.633333333333333,14.5,19.366666666666667,27.33333333333333,35.46666666666667,7.133333333333333,0.27,1.2,0.0,0.0,1.0,0.0,0.0,0.0,2016,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-24,847,63.46666666666667,53.1,1017.6,995.4,9.766666666666667,5.6000000000000005,13.0,19.366666666666667,74.63333333333334,55.03333333333333,0.0966666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-12,607,25.133333333333336,19.433333333333334,1032.0500000000002,1004.5,6.766666666666667,8.433333333333332,16.733333333333334,24.6,32.53333333333333,18.6,0.1699999999999999,4.9,0.0,0.0,1.0,0.0,0.0,0.0,2015,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-12-22,702,34.96666666666667,26.73333333333333,1022.0,997.7666666666668,10.0,8.466666666666667,12.666666666666666,17.1,38.333333333333336,26.03333333333333,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-07-05,898,73.33333333333333,58.7,1016.7,994.5,7.033333333333334,3.1333333333333333,8.9,,83.33333333333333,58.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-12-23,754,48.76666666666667,46.26666666666667,1000.0,977.2333333333332,4.4,11.1,23.0,35.6,60.43333333333334,36.03333333333333,0.01,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2016-09-30,772,62.2,58.93333333333334,1020.15,997.4666666666668,8.566666666666666,10.866666666666667,15.366666666666667,22.03333333333333,65.10000000000001,59.73333333333333,0.4233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-03-30,716,49.6,34.733333333333334,1014.35,991.2666666666668,9.733333333333333,10.466666666666669,21.33333333333333,29.666666666666668,61.36666666666667,39.833333333333336,0.0366666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2018-06-13,751,74.53333333333333,62.9,1012.5,989.8666666666668,7.533333333333334,6.2,13.033333333333331,21.03333333333333,80.63333333333334,66.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2016-05-01,820,46.36666666666667,44.43333333333334,1014.85,991.1333333333332,3.7,9.633333333333333,14.4,19.05,50.23333333333333,43.9,0.4533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
