index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
7973,2018-12-28,5,24.0,16,12,42.56666666666667,38.7,1006.55,983.5666666666666,9.0,14.633333333333333,21.633333333333336,30.3,52.96666666666667,30.6,0.4466666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7026,2018-11-15,4,24.0,20,11,30.96666666666667,24.8,1024.0,998.5,7.6,4.3,8.299999999999999,,34.733333333333334,23.83333333333333,0.0133333333333333,1.2,1.0,0.0,1.0,0.0,0.0,0.0
5397,2018-09-02,7,24.0,23,9,80.60000000000001,69.36666666666666,1016.1,994.2,10.0,8.233333333333333,16.3,22.7,90.83333333333331,72.43333333333334,0.0666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7048,2018-11-16,5,24.0,21,11,33.9,28.03333333333333,1013.5,989.8333333333334,7.833333333333333,9.4,14.333333333333334,21.3,40.8,27.83333333333333,0.075,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7481,2017-12-06,3,24.0,14,12,31.066666666666663,14.666666666666666,1015.95,992.2666666666668,10.0,13.033333333333331,19.366666666666667,27.0,38.56666666666667,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5771,2018-09-19,3,24.0,21,9,70.06666666666666,62.23333333333333,1015.7,993.1333333333332,9.9,7.366666666666666,13.333333333333334,17.0,78.5,66.13333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
594,2016-01-27,3,24.0,13,1,28.066666666666663,17.233333333333334,1022.85,998.7666666666668,10.0,9.466666666666669,15.666666666666666,22.366666666666664,34.800000000000004,23.73333333333333,0.0066666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4602,2018-07-28,6,24.0,24,7,70.06666666666666,54.7,1018.7,996.2666666666668,10.0,3.9,9.966666666666669,,80.46666666666667,58.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5066,2018-08-18,6,24.0,25,8,74.89999999999999,67.73333333333333,1015.2,992.9,8.6,5.933333333333334,11.633333333333333,,82.2,68.13333333333334,0.0566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2016-01-07,4,24.0,26,1,37.0,25.366666666666664,1020.5,996.7,10.0,6.066666666666666,8.933333333333334,,42.333333333333336,30.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
4828,2016-08-06,6,24.0,21,8,75.56666666666666,61.4,1013.75,991.4666666666668,10.0,5.633333333333333,10.3,14.0,83.16666666666667,65.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7927,2015-12-26,6,24.0,22,12,40.16666666666666,34.9,1023.9,999.7,8.166666666666666,8.466666666666667,14.0,20.0,44.9,33.93333333333333,0.0333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1365,2016-03-02,3,24.0,17,3,22.2,7.866666666666667,1020.85,996.5,10.0,7.366666666666667,16.0,21.0,32.800000000000004,12.9,0.0233333333333333,1.2,0.0,0.0,0.0,0.0,0.0,0.0
2045,2015-04-03,5,24.0,10,4,49.76666666666667,32.333333333333336,1012.35,989.2666666666668,9.933333333333334,7.566666666666666,16.400000000000002,21.0,66.0,37.3,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714,2019-03-19,2,24.0,24,3,38.266666666666666,24.933333333333334,1028.9,5.066666666666666,10.0,5.7,12.333333333333334,16.333333333333332,49.333333333333336,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3879,2016-06-24,5,24.0,18,6,71.96666666666667,57.8,1016.35,993.8,10.0,6.633333333333333,10.266666666666667,15.0,82.3,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,2018-03-02,5,24.0,16,3,36.66666666666666,25.1,1027.85,1003.8666666666668,10.0,5.6000000000000005,10.6,,45.6,30.0,0.3266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3672,2019-06-16,7,24.0,24,6,59.26666666666667,57.5,1009.4,986.2666666666668,4.433333333333334,4.8,12.666666666666666,17.1,69.03333333333333,55.46666666666667,0.11,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2750,2015-05-05,2,24.0,19,5,54.13333333333333,47.93333333333334,1022.35,999.2666666666668,5.766666666666667,6.666666666666667,11.333333333333334,19.05,69.96666666666667,49.7,0.8266666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3482,2016-06-06,1,24.0,30,6,71.76666666666667,53.6,1004.05,981.9666666666668,9.5,9.5,20.33333333333333,29.633333333333336,83.10000000000001,58.833333333333336,0.0933333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
