day_of_week,temp,snow_ice_pellets,crime_count
6,27.766666666666666,0.0,0.018461538461538463
7,27.933333333333334,1.0,0.1476923076923077
1,27.73333333333333,1.0,0.1723076923076923
2,25.96666666666667,0.0,0.1753846153846154
3,29.03333333333333,0.0,0.17846153846153845
4,37.0,0.0,0.4246153846153846
5,40.13333333333333,0.0,0.5353846153846153
6,39.26666666666667,1.0,0.24615384615384617
7,20.566666666666663,1.0,0.08307692307692308
3,7.399999999999999,1.0,0.25846153846153846
4,31.8,0.0,0.5046153846153846
5,40.2,0.0,0.5046153846153846
6,29.766666666666666,0.0,0.2523076923076923
2,6.933333333333334,0.0,0.12307692307692308
3,17.433333333333334,1.0,0.15076923076923077
4,18.8,0.0,0.19692307692307692
5,25.066666666666663,1.0,0.40307692307692305
6,28.566666666666663,1.0,0.4676923076923077
7,27.633333333333336,0.0,0.3261538461538461
1,32.300000000000004,0.0,0.5353846153846153
2,33.36666666666667,1.0,0.2153846153846154
3,28.066666666666663,1.0,0.3046153846153846
4,34.6,0.0,0.56
5,29.633333333333336,0.0,0.5415384615384615
6,38.36666666666667,0.0,0.5323076923076923
7,43.3,0.0,0.2923076923076923
1,36.46666666666667,0.0,0.8707692307692307
2,35.53333333333333,0.0,0.13538461538461538
3,36.53333333333333,1.0,0.3446153846153846
4,27.4,1.0,0.3076923076923077
5,29.2,0.0,0.27692307692307694
6,30.866666666666664,0.0,0.38769230769230767
7,38.1,0.0,0.14461538461538462
1,31.6,1.0,0.0
4,14.566666666666668,0.0,0.036923076923076927
5,19.9,1.0,0.23692307692307693
6,10.833333333333334,0.0,0.08307692307692308
2,28.5,1.0,0.16923076923076924
3,29.633333333333336,1.0,0.21846153846153846
4,30.433333333333334,0.0,0.3415384615384615
5,48.53333333333333,0.0,0.6307692307692307
6,49.9,0.0,0.40615384615384614
7,40.66666666666666,0.0,0.42153846153846153
1,35.43333333333334,0.0,0.2123076923076923
2,36.13333333333333,0.0,0.18461538461538463
3,35.266666666666666,1.0,0.024615384615384615
4,33.43333333333333,1.0,0.39692307692307693
5,31.76666666666667,0.0,0.5230769230769231
6,35.800000000000004,0.0,0.37538461538461537
7,50.56666666666666,0.0,0.16923076923076924
1,42.03333333333333,0.0,0.23384615384615384
2,29.666666666666668,1.0,0.76
3,22.2,0.0,0.12
4,30.433333333333334,1.0,0.14461538461538462
5,30.96666666666667,1.0,0.4123076923076923
6,33.800000000000004,1.0,0.4
7,39.3,0.0,0.4430769230769231
1,51.03333333333333,0.0,0.6923076923076923
2,61.63333333333333,0.0,0.4707692307692308
3,61.7,0.0,0.3353846153846154
4,49.43333333333334,0.0,0.4492307692307692
5,42.86666666666667,0.0,0.5015384615384615
6,44.0,0.0,0.5415384615384615
7,47.9,0.0,0.17846153846153845
1,47.13333333333333,0.0,0.3507692307692308
2,50.93333333333334,0.0,0.44
3,54.03333333333333,0.0,0.5384615384615384
4,48.6,0.0,0.5169230769230769
5,42.0,0.0,0.68
6,38.63333333333333,0.0,0.39692307692307693
7,37.5,0.0,0.3569230769230769
1,38.53333333333333,0.0,0.39692307692307693
2,49.5,0.0,0.4676923076923077
