day_of_week,max,visib,rain_drizzle,crime_count
3,56.76666666666667,10.0,0.0,0.4461538461538462
4,61.53333333333333,10.0,0.0,0.3723076923076923
5,68.66666666666667,10.0,0.0,0.7415384615384616
6,76.86666666666667,9.933333333333334,0.0,0.5046153846153846
7,79.36666666666666,10.0,0.0,0.4246153846153846
1,82.56666666666668,10.0,0.0,0.5169230769230769
2,76.26666666666667,10.0,0.0,0.40923076923076923
3,71.66666666666667,10.0,1.0,0.36923076923076925
4,70.96666666666665,7.399999999999999,1.0,0.4430769230769231
5,62.56666666666666,8.4,1.0,0.49538461538461537
6,60.16666666666666,10.0,0.0,0.38153846153846155
7,78.46666666666665,10.0,0.0,0.5723076923076923
1,82.23333333333333,10.0,0.0,0.5784615384615385
2,80.73333333333333,7.633333333333333,1.0,0.37846153846153846
3,49.5,8.799999999999999,1.0,0.28
4,50.9,7.866666666666667,1.0,0.49846153846153846
5,50.5,6.666666666666667,1.0,0.4584615384615385
6,49.833333333333336,6.966666666666666,1.0,0.1076923076923077
6,56.6,9.966666666666669,0.0,0.7894736842105263
7,59.43333333333334,10.0,0.0,0.3256578947368421
1,57.1,8.533333333333333,1.0,0.34868421052631576
2,56.333333333333336,7.666666666666667,1.0,0.3980263157894737
3,51.86666666666667,7.5,1.0,0.13815789473684212
4,50.0,8.1,1.0,0.2532894736842105
5,52.66666666666666,10.0,0.0,0.375
6,66.73333333333333,10.0,0.0,0.34539473684210525
7,75.89999999999999,10.0,0.0,0.5592105263157895
1,76.0,9.766666666666666,1.0,0.3026315789473684
2,57.96666666666667,7.166666666666667,1.0,0.3684210526315789
3,57.56666666666666,9.833333333333334,0.0,0.4473684210526316
4,61.7,9.733333333333333,1.0,0.24342105263157895
5,70.16666666666667,10.0,0.0,0.5986842105263158
6,81.23333333333333,9.733333333333334,1.0,0.743421052631579
7,78.8,9.666666666666666,1.0,0.3157894736842105
1,70.46666666666665,10.0,0.0,0.5296052631578947
2,76.03333333333335,10.0,0.0,0.47368421052631576
3,74.60000000000001,9.9,1.0,0.5493421052631579
4,73.96666666666667,9.866666666666667,1.0,0.40131578947368424
5,58.333333333333336,10.0,0.0,0.7368421052631579
6,57.56666666666666,10.0,0.0,0.3618421052631579
7,69.39999999999999,10.0,0.0,0.3684210526315789
1,72.56666666666666,9.8,0.0,0.4769736842105263
2,79.0,10.0,0.0,0.5460526315789473
3,78.03333333333333,10.0,0.0,0.5493421052631579
4,72.03333333333333,8.866666666666667,1.0,0.41118421052631576
5,60.7,9.633333333333336,0.0,0.7927631578947368
6,54.333333333333336,8.233333333333333,1.0,0.08223684210526316
7,47.93333333333334,3.9666666666666655,1.0,0.21710526315789475
7,50.86666666666667,10.0,0.0,0.49714285714285716
1,44.26666666666667,10.0,0.0,0.32
2,43.46666666666667,5.833333333333333,1.0,0.12285714285714286
3,37.8,7.8,1.0,0.39714285714285713
4,41.56666666666667,9.666666666666666,1.0,0.3142857142857143
5,39.5,7.766666666666667,1.0,0.38
6,38.63333333333333,10.0,0.0,0.20857142857142857
7,39.53333333333333,10.0,0.0,0.16
1,38.833333333333336,5.7,0.0,0.28285714285714286
2,46.0,8.5,0.0,0.4342857142857143
3,66.53333333333333,9.9,1.0,0.5914285714285714
4,74.86666666666666,9.333333333333334,1.0,0.54
5,54.333333333333336,9.466666666666669,1.0,0.6257142857142857
6,42.8,5.466666666666666,1.0,0.3628571428571429
7,39.16666666666666,6.933333333333334,1.0,0.11714285714285715
1,35.56666666666667,7.133333333333333,1.0,0.48857142857142855
2,43.66666666666666,9.966666666666669,0.0,0.3914285714285714
3,39.6,9.266666666666666,1.0,0.18571428571428572
4,52.6,7.366666666666667,1.0,0.46285714285714286
5,60.03333333333333,10.0,0.0,0.6885714285714286
6,55.6,10.0,0.0,0.32857142857142857
7,62.1,10.0,0.0,0.38857142857142857
1,59.96666666666667,10.0,0.0,0.44
2,63.16666666666666,9.8,1.0,0.43142857142857144
3,59.3,9.833333333333334,0.0,0.5371428571428571
4,65.46666666666667,10.0,0.0,0.48857142857142855
5,62.76666666666667,10.0,1.0,0.6028571428571429
6,51.86666666666667,9.966666666666669,1.0,0.3342857142857143
7,57.13333333333333,10.0,0.0,0.4657142857142857
1,79.2,10.0,0.0,0.6542857142857142
1,48.13333333333333,10.0,0.0,0.7374631268436578
2,56.23333333333333,9.9,0.0,0.3333333333333333
3,58.4,10.0,0.0,0.40117994100294985
4,55.63333333333333,8.566666666666666,1.0,0.35103244837758113
5,56.53333333333333,7.933333333333333,1.0,0.4749262536873156
6,66.43333333333334,6.266666666666667,0.0,0.5870206489675516
7,69.5,9.766666666666667,1.0,0.4690265486725664
1,73.56666666666666,10.0,0.0,0.5899705014749262
2,70.83333333333333,10.0,0.0,0.43952802359882004
3,64.2,9.833333333333334,1.0,0.3392330383480826
4,61.16666666666666,10.0,1.0,0.5958702064896755
5,60.13333333333333,9.233333333333333,1.0,0.696165191740413
6,53.26666666666667,10.0,0.0,0.6194690265486725
1,52.96666666666667,8.4,0.0,0.5309734513274337
2,73.83333333333333,10.0,1.0,0.4837758112094395
3,76.46666666666667,8.866666666666667,0.0,0.4365781710914454
4,74.76666666666667,8.066666666666666,1.0,0.24778761061946902
5,52.86666666666667,9.8,1.0,0.31268436578171094
6,63.0,10.0,0.0,0.5486725663716814
7,77.06666666666666,10.0,0.0,0.29793510324483774
1,79.66666666666667,10.0,1.0,0.5663716814159292
2,74.39999999999999,9.533333333333331,1.0,0.5870206489675516
3,64.73333333333333,9.966666666666669,0.0,0.46607669616519176
4,65.83333333333333,9.933333333333334,0.0,0.6578171091445427
5,65.23333333333333,9.766666666666666,1.0,0.6430678466076696
6,61.36666666666667,7.466666666666666,1.0,0.25073746312684364
7,51.7,8.633333333333333,1.0,0.18289085545722714
1,52.9,7.933333333333333,1.0,0.5103244837758112
2,51.93333333333334,6.0,1.0,0.5457227138643068
