day_of_week,max,slp,crime_count
5,33.7,1033.4,0.26973684210526316
6,41.96666666666667,1034.15,0.13815789473684212
7,60.7,1024.9,0.23355263157894737
1,60.1,1014.0,0.3026315789473684
2,63.833333333333336,1008.3,0.3026315789473684
3,56.46666666666667,1014.85,0.25
4,50.73333333333333,1021.45,0.27960526315789475
5,38.23333333333333,1027.1,0.24671052631578946
6,31.566666666666663,1032.65,0.2236842105263158
3,32.6,1028.8000000000002,0.05921052631578947
4,41.06666666666667,1027.35,0.2532894736842105
5,47.96666666666667,1019.6,0.3881578947368421
6,48.86666666666667,1019.35,0.2730263157894737
7,52.3,1026.9,0.046052631578947366
1,54.0,1017.35,0.34539473684210525
2,53.43333333333334,1021.45,0.19407894736842105
3,37.266666666666666,1033.35,0.18092105263157895
4,50.06666666666666,1029.45,0.24671052631578946
5,81.3,1014.2,0.618421052631579
6,49.06666666666666,1017.1,0.34210526315789475
7,62.43333333333334,1011.55,0.3651315789473684
1,57.86666666666667,1012.7,0.4309210526315789
2,47.6,1018.3,0.26973684210526316
3,50.96666666666667,1023.1,0.2565789473684211
4,48.43333333333334,1011.8,0.32894736842105265
5,45.16666666666666,1008.5,0.6118421052631579
4,47.43333333333334,1011.9,0.7742857142857142
5,45.6,1027.85,0.37142857142857144
6,44.73333333333333,1033.35,0.2914285714285714
7,46.86666666666667,1030.9,0.24857142857142858
1,43.7,1021.85,0.29428571428571426
2,41.73333333333333,1007.6,0.26
3,37.46666666666667,1013.2,0.26857142857142857
4,34.833333333333336,1017.0,0.28
5,39.5,1017.05,0.5228571428571429
6,40.46666666666667,1018.75,0.3485714285714286
7,39.96666666666667,1022.4,0.16285714285714287
1,45.0,1020.45,0.2857142857142857
2,40.86666666666667,1021.5,0.22
3,46.93333333333334,1019.65,0.29428571428571426
4,48.8,1010.8,0.36857142857142855
5,41.16666666666666,1020.25,0.40285714285714286
6,44.3,1015.75,0.6142857142857143
7,55.66666666666666,1017.3,0.3657142857142857
1,52.46666666666667,1013.4,0.28
2,40.73333333333333,1013.0,0.42857142857142855
3,38.93333333333333,1017.3,0.3628571428571429
4,47.76666666666667,1026.35,0.31142857142857144
5,44.833333333333336,1028.05,0.5428571428571428
6,41.53333333333333,1023.5,0.24857142857142858
7,41.73333333333333,1027.2,0.32857142857142857
1,54.13333333333333,1024.85,0.38571428571428573
2,52.66666666666666,1015.4,0.32285714285714284
3,53.03333333333333,1016.15,0.3628571428571429
4,50.06666666666666,1012.85,0.19142857142857142
5,49.26666666666667,1021.1,0.4057142857142857
6,59.53333333333333,1016.65,0.3657142857142857
5,34.53333333333333,1022.75,0.6312684365781711
6,33.86666666666667,1022.7,0.35693215339233036
7,30.933333333333334,1024.35,0.02359882005899705
1,20.566666666666663,1024.4499999999998,0.0
3,31.33333333333333,1026.65,0.25073746312684364
4,30.23333333333333,1027.6,0.19469026548672566
5,40.03333333333333,1023.65,0.5132743362831859
6,41.833333333333336,1015.75,0.2182890855457227
7,44.36666666666667,1008.5,0.20058997050147492
