day_of_week,temp,rain_drizzle,crime_count
7,68.83333333333333,1.0,0.5427631578947368
1,69.43333333333334,1.0,0.3190789473684211
2,68.36666666666667,1.0,0.4375
3,69.36666666666666,0.0,0.6480263157894737
4,69.26666666666667,0.0,0.4769736842105263
4,75.8,0.0,0.8342857142857143
5,75.3,0.0,0.94
6,81.2,0.0,0.9771428571428571
7,83.16666666666667,0.0,0.8514285714285714
1,78.2,1.0,0.6885714285714286
2,75.43333333333334,1.0,0.6371428571428571
3,73.5,1.0,0.6571428571428571
4,76.8,0.0,0.5914285714285714
5,76.5,1.0,0.8457142857142858
6,77.23333333333333,0.0,0.8514285714285714
7,77.60000000000001,0.0,0.8028571428571428
1,76.0,0.0,0.7485714285714286
2,78.06666666666666,0.0,0.7628571428571429
3,78.53333333333333,0.0,0.68
4,76.56666666666666,0.0,0.7828571428571428
5,74.56666666666666,1.0,0.7057142857142857
6,74.89999999999999,0.0,1.0
7,74.93333333333334,0.0,0.66
1,74.66666666666667,1.0,0.5314285714285715
2,71.96666666666665,1.0,0.45714285714285713
3,69.89999999999999,0.0,0.8257142857142857
4,68.93333333333334,0.0,0.4742857142857143
5,67.26666666666667,1.0,0.6514285714285715
6,71.23333333333333,1.0,0.7857142857142857
7,81.26666666666667,0.0,0.6571428571428571
1,84.63333333333334,0.0,0.7514285714285714
2,82.03333333333333,1.0,0.6857142857142857
3,71.8,1.0,0.54
4,67.43333333333334,0.0,0.74
5,70.10000000000001,0.0,0.7742857142857142
5,72.36666666666667,0.0,0.9941002949852508
6,74.63333333333334,0.0,0.9587020648967551
7,77.7,0.0,0.8790560471976401
1,78.3,0.0,0.7817109144542773
2,76.3,1.0,0.7079646017699115
3,76.06666666666666,0.0,0.696165191740413
4,79.03333333333333,1.0,0.8171091445427728
5,72.5,0.0,0.7433628318584071
6,73.3,0.0,0.7551622418879056
7,74.3,1.0,0.7610619469026548
1,76.23333333333333,1.0,0.48672566371681414
2,75.33333333333333,1.0,0.6430678466076696
3,72.86666666666667,1.0,0.7374631268436578
4,70.8,0.0,0.7935103244837758
5,71.5,0.0,0.6784660766961652
6,73.66666666666667,1.0,0.7876106194690266
7,73.66666666666667,1.0,0.6342182890855457
1,76.26666666666667,0.0,0.7168141592920354
2,74.8,1.0,0.5545722713864307
3,72.93333333333334,1.0,0.5250737463126843
4,73.36666666666667,0.0,0.6194690265486725
5,68.93333333333332,0.0,0.6991150442477876
6,66.96666666666667,0.0,0.8082595870206489
7,68.3,0.0,0.6578171091445427
1,70.89999999999999,1.0,0.5486725663716814
2,72.3,1.0,0.5545722713864307
3,68.60000000000001,0.0,0.616519174041298
4,69.96666666666665,0.0,0.6755162241887905
5,70.10000000000001,0.0,0.6578171091445427
6,66.66666666666667,1.0,0.6814159292035398
